Adress: 4295033792, Name: draw_2d_enemies
Adress: 4295034144, Name: draw_multi
Adress: 4295034576, Name: draw_bullets
Adress: 4295036240, Name: shade_floor_ceil
Adress: 4295036592, Name: check_enemy_nearby
Adress: 4295036960, Name: process_bullets
Adress: 4295037744, Name: end_game_lose
Adress: 4295038032, Name: end_game_win
Adress: 4295038320, Name: check_end_game
Adress: 4295038496, Name: gen_bullet
Adress: 4295038848, Name: draw_hud
Adress: 4295039664, Name: render
Adress: 4295040736, Name: color
Adress: 4295040784, Name: gen_color
Adress: 4295040848, Name: to_rgb
Adress: 4295040960, Name: cycle_color
Adress: 4295041328, Name: print_tab_pos
Adress: 4295041440, Name: serv_process
Adress: 4295041968, Name: serv_connect
Adress: 4295042544, Name: show_player
Adress: 4295044512, Name: draw_mini_circle
Adress: 4295045840, Name: draw_2d_map
Adress: 4295047456, Name: img_text
Adress: 4295047824, Name: img_text_simple
Adress: 4295048176, Name: affect_ascii
Adress: 4295048400, Name: test_rays
Adress: 4295049904, Name: calc_ray
Adress: 4295051456, Name: project_rays
Adress: 4295057456, Name: __cyg_profile_func_enter
Adress: 4295057552, Name: __cyg_profile_func_exit
[init_enemies] Was used and profiled
[init_bullets] Was used and profiled
[init_imgs] Was used and profiled
[fill_vars] Was used and profiled
[extract_name] Was used and profiled
[frame] Was used and profiled
[line_texture] Was used and profiled
[project_rays] Was used and profiled
[test_hook] Was used and profiled
[main] Was used and profiled
[test_hook] Took: 0us
[extract_name] Took: 2us
[init_bullets] Took: 60us
[init_enemies] Took: 2201us
[init_imgs] Took: 25968us
[fill_vars] Took: 272520us
[line_texture] Took: 4278345us
[project_rays] Took: 5039970us
[frame] Took: 9056709us
[main] Took: 10807422us
